customer_id,date,region,category,product,sales,quantity,profit,discount
C001,2024-01-10,North,Electronics,Laptop,1200,2,300,0.10
C002,2024-01-14,South,Furniture,Chair,450,4,80,0.05
C003,2024-01-18,East,Electronics,Phone,700,3,140,0.08
C004,2024-01-22,West,Office,Desk,900,2,180,0.07
C005,2024-01-26,North,Electronics,Tablet,680,5,120,0.12
C006,2024-02-01,South,Office,Monitor,520,3,110,0.06
C007,2024-02-04,East,Furniture,Table,780,2,160,0.09
C008,2024-02-08,West,Electronics,Printer,350,4,70,0.04
C009,2024-02-12,North,Office,Keyboard,200,8,40,0.03
C010,2024-02-18,South,Electronics,Headphones,430,6,90,0.05
C011,2024-02-22,East,Office,Chair,560,5,100,0.06
C012,2024-03-03,West,Furniture,Shelf,980,1,210,0.10
C013,2024-03-10,North,Electronics,Laptop,1350,2,360,0.11
C014,2024-03-15,South,Office,Monitor,610,3,130,0.07
C015,2024-03-16,East,Electronics,Phone,760,4,160,0.09
C016,2024-03-19,West,Office,Desk,850,2,170,0.08
C017,2024-03-25,North,Furniture,Table,820,2,180,0.10
C018,2024-03-30,South,Electronics,Tablet,690,5,150,0.13
C019,2024-04-02,East,Office,Keyboard,320,7,60,0.04
C020,2024-04-06,West,Electronics,Printer,470,5,100,0.05
C021,2024-04-11,North,Office,Monitor,690,3,140,0.07
C022,2024-04-15,South,Furniture,Chair,500,6,110,0.05
C023,2024-04-22,East,Electronics,Headphones,420,8,90,0.06
C024,2024-04-30,West,Office,Desk,930,2,200,0.09
